target,message,message_len,message_clean,target_encoded
ham,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ,195,sorri pain ok meet anoth night spent late afternoon casualti mean done includ time sheet sorri,0
ham,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,141,smile pleasur smile pain smile troubl pour like rain smile hurt smile becoz someon still love see smile,0
spam,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,139,pleas call custom servic repres guarante $$$ cash $$$ prize,1
ham,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,107,havent plan buy later check alreadi lido got show e afternoon finish work alreadi,0
spam,"Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML",125,free rington wait collect simpli text password mix verifi get usher britney fml,1
ham,Watching telugu movie..wat abt u?,33,watch telugu movi wat abt,0
ham,i see. When we finish we have loads of loans to pay,51,see finish load loan pay,0
ham,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?\""ham""",184,hi wk ok hol yes bit run forgot hairdress appoint four need get home n shower beforehand caus prob ham,0
ham,Please don't text me anymore. I have nothing else to say.,57,pleas text anymor noth els say,0
ham,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,81,okay name ur price long legal wen pick ave x am xx,0
ham,I'm still looking for a car to buy. And have not gone 4the driving test yet.,76,still look car buy gone drive test yet,0
ham,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",183,wow right mean guess gave boston men chang search locat nyc someth chang cuz signin page still say boston,0
ham,Umma my life and vava umma love you lot dear,44,umma life vava umma love lot dear,0
ham,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,95,thank lot wish birthday thank make birthday truli memor,0
ham,"Aight, I'll hit you up when I get some cash",43,aight hit get cash,0
ham,How would my ip address test that considering my computer isn't a minecraft server,82,would ip address test consid comput minecraft server,0
ham,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,115,know grumpi old peopl mom like better lie alway one play joke,0
ham,Dont worry. I guess he's busy.,30,dont worri guess busi,0
ham,What is the plural of the noun research?,40,plural noun research,0
ham,Going for dinner.msg you after.,31,go dinner msg,0
ham,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,96,ok wif cos like tri new thing scare dun like mah cos said loud,0
spam,GENT! We are trying to contact you. Last weekends draw shows that you won a å£1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,159,gent tri contact last weekend draw show $$$ prize guarante call claim code valid,1
ham,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",143,wa ur openin sentenc formal anyway fine juz tt eatin much n puttin weight haha anythin special happen,0
ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",156,enter cabin pa said happi b day boss felt special askd lunch lunch invit apart went,0
spam,You are a winner U have been specially selected 2 receive å£1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) ,153,winner special select receiv $$$ holiday flight inc speak live oper claim min,1
ham,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! ,72,goodo yes must speak friday egg potato ratio tortilla need,0
ham,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,86,hmm uncl inform pay school direct pls buy food,0
spam,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,144,privat account statement show unredeem bonus point claim call identifi code expir,1
spam,"URGENT! Your Mobile No. was awarded å£2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",157,urgent mobil award $$$ bonus caller prize final tri contact call landlin,1
ham,here is my new address -apples&pairs&all that malarky,53,new address appl pair malarki,0
spam,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,156,today voda number end select receiv $$$ award match pleas call quot claim code standard rate app,1
ham,I am going to sao mu today. Will be done only at 12 ,52,go sao mu today done,0
ham,ÌÏ predict wat time Ì_'ll finish buying?,40,iï predict wat time finish buy,0
ham,"Good stuff, will do.",20,good stuff,0
ham,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",244,know yetund sent money yet sent text bother send dont involv anyth impos anyth first place apologis,0
ham,Are you there in room.,22,room,0
ham,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,107,hey girl r hope r well del r bak long time give call sum time lucyxx,0
ham,K..k:)how much does it cost?,28,k k much cost,0
ham,I'm home.,9,home,0
ham,"Dear, will call Tmorrow.pls accomodate.",39,dear call tmorrow pls accomod,0
ham,First answer my question.,25,first answer question,0
spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. å£1.50 SP:Tyrone,126,sunshin quiz wkli q win top soni dvd player know countri algarv txt ansr $$$ sp tyron,1
spam,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,162,want get laid tonight want real dog locat sent direct ur mob join uk largest dog network bt txting gravel nt msg,1
ham,I only haf msn. It's yijue@hotmail.com,38,haf msn http,0
ham,He is there. You call and meet him,34,call meet,0
ham,No no. I will check all rooms befor activities,46,check room befor activ,0
spam,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,155,rcv msgs chat svc free hardcor servic text go get noth must age verifi yr network tri,1
ham,Got c... I lazy to type... I forgot Ì_ in lect... I saw a pouch but like not v nice...,86,got lazi type forgot lect saw pouch like v nice,0
ham,"K, text me when you're on the way",33,k text way,0
ham,"Sir, Waiting for your mail.",27,sir wait mail,0
ham,"A swt thought: \Nver get tired of doing little things 4 lovable persons..\"" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8""",158,swt thought nver get tire littl thing lovabl person coz somtim littl thing occupi biggest part heart gud,0
ham,I know you are. Can you pls open the back?,42,know pls open back,0
ham,Yes see ya not on the dot,25,yes see ya dot,0
ham,Whats the staff name who is taking class for us?,48,what staff name take class us,0
spam,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end",159,freemsg repli text randi sexi femal live local luv hear netcollex ltd per msg repli stop end,1
ham,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,84,ummma call check life begin qatar pls pray hard,0
ham,K..i deleted my contact that why?,33,k delet contact,0
ham,Sindu got job in birla soft ..,30,sindu got job birla soft,0
ham,The wine is flowing and i'm i have nevering..,45,wine flow never,0
ham,Yup i thk cine is better cos no need 2 go down 2 plaza mah.,59,yup thk cine better cos need go plaza mah,0
ham,Ok... Ur typical reply...,25,ok ur typic repli,0
ham,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.",384,everywher dirt floor window even shirt sometim open mouth come flow dream world without half chore time joy lot tv show see guess like thing must exist like rain hail mist time done becom one,0
ham,Aaooooright are you at work?,28,aaooooright work,0
ham,I'm leaving my house now...,27,leav hous,0
ham,"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?",157,hello love get interview today happi good boy think miss,0
spam,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,124,custom servic annonc new year deliveri wait pleas call arrang deliveri,1
spam,You are a winner U have been specially selected 2 receive å£1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,146,winner special select receiv $$$ cash holiday flight inc speak live oper claim,1
ham,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life,115,keep safe need miss alreadi envi everyon see real life,0
ham,New car and house for my parents.:)i have only new job in hand:),64,new car hous parent new job hand,0
ham,I'm so in love with you. I'm excited each day i spend with you. You make me so happy.,85,love excit day spend make happi,0
spam,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468,152,pls stop bootydeli f invit friend repli yes see http stop send stop frnd,1
spam,"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu",155,bangbab ur order way receiv servic msg download ur content goto wap bangb tv ur mobil internet servic menu,1
ham,I place all ur points on e cultures module already.,51,place ur point e cultur modul alreadi,0
spam,URGENT! We are trying to contact you. Last weekends draw shows that you have won a å£900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only,157,urgent tri contact last weekend draw show $$$ prize guarante call claim code valid,1
ham,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?",74,hi frnd best way avoid missunderstd wit belov one,0
ham,Great escape. I fancy the bridge but needs her lager. See you tomo ,67,great escap fanci bridg need lager see tomo,0
ham,Yes :)it completely in out of form:)clark also utter waste.,59,yes complet form clark also utter wast,0
ham,"Sir, I need AXIS BANK account no and bank address.",50,sir need axi bank account bank address,0
ham,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao... ",94,hmmm thk sure got time hop ard ya go free abt muz call discuss liao,0
ham,What time you coming down later? ,33,time come later,0
ham,"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m... ",105,bloodi hell cant believ forgot surnam mr ill give clue spanish begin,0
ham,"Well, i'm gonna finish my bath now. Have a good...fine night.",61,well gonna finish bath good fine night,0
ham,Let me know when you've got the money so carlos can make the call,65,let know got money carlo make call,0
ham,U still going to the mall?,26,still go mall,0
ham,"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth",146,turn friend stay whole show back til feel free go ahead smoke $$$ worth,0
ham,Text her. If she doesnt reply let me know so i can have her log in,66,text doesnt repli let know log,0
ham,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,126,hi spoke maneesha v like know satisfi experi repli toll free yes,0
ham,You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend,159,lift hope offer money need especi end month approach hurt studi anyway weekend,0
ham,Lol no. U can trust me.,23,lol trust,0
ham,ok. I am a gentleman and will treat you with dignity and respect.,65,ok gentleman treat digniti respect,0
ham,"He will, you guys close?",24,guy close,0
ham,Going on nothing great.bye,26,go noth great bye,0
ham,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?,152,hello handsom find job lazi work toward get back net mummi boytoy miss,0
ham,"Haha awesome, be there in a minute",34,haha awesom minut,0
spam,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,149,pleas call custom servic repres freephon guarante $$$ cash $$$ prize,1
ham,Have you got Xmas radio times. If not i will get it now,55,got xmas radio time get,0
ham,I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...,88,jus reach home go bath first sis use net tell finish k,0
spam,Are you unique enough? Find out from 30th August. www.areyouunique.co.uk,72,uniqu enough find august http,1
ham,I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|,185,sorri join leagu peopl dont keep touch mean great deal friend time even great person cost great week,0
ham,Hi :)finally i completed the course:),37,hi final complet cours,0
ham,It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.,111,stop howev suggest stay someon abl give or everi stool,0
ham,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day,92,hope settl new school year wishin day,0
ham,Gud mrng dear hav a nice day,28,gud mrng dear hav nice day,0
ham,Did u got that persons story,28,got person stori,0
ham,is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt? ,64,hamster dead hey tmr meet orchard mrt,0
ham,Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx,131,hi kate even hope see tomorrow bit bloodi babyjontet txt back xxx,0
ham,"Found it, ENC  &lt;#&gt; , where you at?",40,found enc,0
ham,I sent you  &lt;#&gt;  bucks,28,sent buck,0
ham,Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx,84,hello darlin ive finish colleg txt finish love kate xxx,0
ham,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,174,account refil success inr keralacircl prepaid account balanc rs transact id kr,0
ham,Goodmorning sleeping ga.,24,goodmorn sleep ga,0
ham,U call me alter at 11 ok.,25,call alter ok,0
ham,ÌÏ say until like dat i dun buy ericsson oso cannot oredi lar...,64,iï say like dat dun buy ericsson oso cannot oredi lar,0
ham,"Aight yo, dats straight dogg",28,aight yo dat straight dogg,0
ham,You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill,86,pleas give us connect today refund bill,0
ham,Both :) i shoot big loads so get ready!,39,shoot big load get readi,0
ham,"What's up bruv, hope you had a great break. Do have a rewarding semester.",73,bruv hope great break reward semest,0
ham,Home so we can always chat,26,home alway chat,0
ham,K:)k:)good:)study well.,23,k k good studi well,0
ham,Yup... How Ì_ noe leh...,24,yup noe leh,0
ham,Sounds great! Are you home now?,31,sound great home,0
ham,Finally the match heading towards draw as your prediction.,58,final match head toward draw predict,0
ham,Tired. I haven't slept well the past few nights.,48,tire slept well past night,0
ham,Easy ah?sen got selected means its good..,41,easi ah sen got select mean good,0
ham,I have to take exam with march 3,32,take exam march,0
ham,Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.,159,yeah think use gt atm regist sure anyway help let know sure readi,0
ham,Ok no prob. Take ur time.,25,ok prob take ur time,0
ham,There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..,161,os call ubandu run without instal hard disk use os copi import file system give repair shop,0
ham,U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.,119,say leh cours noth happen lar say v romant jus bit lor thk e nite sceneri nice leh,0
spam,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY å£1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18",143,new mobil must go txt nokia collect today $$$ http,1
ham,Would really appreciate if you call me. Just need someone to talk to.,69,would realli appreci call need someon talk,0
spam,"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES",137,meet ur dream partner soon ur career flyng start find free txt horo follow ur star sign e g horo ari,1
ham,Hey company elama po mudyadhu.,30,hey compani elama po mudyadhu,0
ham,"Life is more strict than teacher... Bcoz Teacher teaches lesson &amp; then conducts exam, But Life first conducts Exam &amp; then teaches Lessons. Happy morning. . .",165,life strict teacher bcoz teacher teach lesson conduct exam life first conduct exam teach lesson happi morn,0
ham,Dear good morning now only i am up,34,dear good morn,0
ham,Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.,109,get gandhipuram walk cross cut road right side street road turn first right,0
ham,Dear we are going to our rubber place,37,dear go rubber place,0
ham,"Sorry battery died, yeah I'm here",33,sorri batteri die yeah,0
ham,Yes:)here tv is always available in work place..,48,yes tv alway avail work place,0
spam,Text & meet someone sexy today. U can find a date or even flirt its up to U. Join 4 just 10p. REPLY with NAME & AGE eg Sam 25. 18 -msg recd@thirtyeight pence,157,text meet someon sexi today find date even flirt join repli name age eg sam msg recd thirtyeight penc,1
ham,I have printed it oh. So  &lt;#&gt;  come upstairs,50,print oh come upstair,0
ham,Or ill be a little closer like at the bus stop on the same street,65,ill littl closer like bus stop street,0
ham,Where are you?when wil you reach here?,38,wil reach,0
ham,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!",145,new theori argument win situat lose person dont argu ur friend kick say alway correct,0
spam,U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597,145,secret admir look make contact find r reveal think ur special call,1
